customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,AverageDataUsage(GB),NumberofDevicesConnected,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerSatisfactionScore,AdjustedCustomerSatisfactionScore,ComplaintsReceived,ContractRenewalDate,DataOverageFees,CustomerLifetimeValue,LastContactDate,PromotionReceived
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,479,1,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,63.04873460781307,95.79212815507393,4.234578341301089,2023-10-09,10.823379771832098,324.675,2023-09-06,No
7469-LKBCI,Male,0,No,No,16,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,63.01405369644615,87.67434729152909,14.83897234501713,2024-11-13,0.0,151.6,2023-09-07,No
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,446,8,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,73.62943407349051,75.30525614065049,11.99496078750848,2024-04-04,43.29770563201687,2910.1499999999996,2023-07-26,No
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,953,9,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,41.30079633013303,48.751131146499326,29.13686823495761,2023-10-18,18.493564427131048,2540.65,2023-09-08,Yes
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,288,6,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,44.12623251230451,85.42560043585965,15.250245207767133,2023-10-22,0.0,1318.75,2023-09-09,Yes
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,927,3,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,61.56568706138541,75.36582307187538,11.623291177512591,2024-10-13,17.33618039413735,3907.125,2023-09-11,Yes
8191-XWSZG,Female,0,No,No,52,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,54.80753319498364,75.34270246429743,10.714953174046082,2024-04-07,0.0,536.9,2023-09-01,No
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,148,1,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,74.71370998892911,82.41962271566034,1.3699469066661667,2024-09-05,0.0,3787.85,2023-08-03,No
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,526,9,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,56.37963886718184,50.15697795957758,34.71596651738897,2023-10-17,27.27780074568463,276.0,2023-09-09,Yes
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,70,1,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,48.81544447997062,60.86719755342202,8.648166516194152,2023-10-15,0.0,945.525,2023-08-31,Yes
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,631,10,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,91.98473153382332,52.18659306757298,32.22973888562652,2023-10-01,34.474115788895176,19.825,2023-09-08,No
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,66.61335549270197,62.75082167486967,9.86307839798128,2024-03-01,0.0,118.80000000000001,2023-09-07,No
1066-JKSGK,Male,0,No,No,1,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,71.01292307031886,45.53679484765655,26.965182770636822,2023-09-30,0.0,10.075,2023-09-11,No
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,556,4,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,48.62877720679815,74.37712470759027,19.76553599136287,2025-03-16,24.654473731747668,1737.1,2023-09-02,Yes
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,554,2,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,61.834259132122256,69.87168879665576,13.434783160493389,2023-10-04,28.24279936868144,1460.2,2023-09-02,Yes
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,661,4,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,71.66383884564799,83.14247332595274,17.68030590854764,2023-10-03,41.407038455720546,829.5,2023-07-02,No
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,689,2,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,52.73509633866546,47.99360701174568,36.675563339020485,2023-10-11,17.98695128633439,2334.725,2023-09-06,Yes
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,465,6,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,75.63547027518509,53.67510410540602,23.20871506938757,2023-10-10,30.569377536544465,15.1,2023-09-10,No
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,962,2,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,60.99041965121793,70.91975924478788,12.98768852947364,2025-04-05,33.696582754481696,3249.0,2023-09-07,Yes
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,881,2,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,65.62459375310085,60.40430892644839,29.539170945892614,2023-10-29,11.85801650879991,549.95,2023-09-08,Yes
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,425,10,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,60.97440081655905,65.87696298664709,6.443483865252603,2025-04-07,34.30179407605753,3420.4249999999997,2023-09-01,Yes
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,429,2,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,97.78417276763406,94.65648768921554,10.585621080749256,2023-10-24,16.82096494749166,95.5,2023-08-20,No
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,363,6,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,69.79754162893099,77.74223699513465,11.181118231321165,2024-03-23,12.60206371941118,893.0250000000001,2023-09-09,Yes
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,54.13433606566149,80.67528204687923,5.304222151146592,2023-10-15,0.0,10.1,2023-09-10,No
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,974,2,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,82.33817368154783,65.75251813786544,8.078063117035395,2023-10-05,48.625281322982374,22.625,2023-07-24,No
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,15,9,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,51.68734525043467,74.55617275474818,8.97116503161414,2024-08-27,0.0,3596.4,2023-09-06,Yes
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,219,8,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,73.13295392507133,30.44951229681717,34.83458700537734,2023-10-20,0.0,174.25,2023-09-13,No
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,458,9,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,40.60494814180336,81.10922589709867,18.02809916282559,2023-10-14,13.906884560255355,1720.3999999999999,2023-09-12,Yes
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,682,10,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,50.07720926652354,46.310605609685375,26.38463447543928,2023-10-27,37.36932106048627,1807.9499999999998,2023-09-08,Yes
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,976,6,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,72.95291853803685,52.13808793941063,31.54777823383576,2023-10-22,27.606099749584054,538.175,2023-09-03,No
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,981,3,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,81.07699869993115,68.49006422577698,0.0,2024-04-20,14.881529393791153,247.75,2023-07-23,No
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,41,9,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,72.57052421784955,83.75698018345672,16.029092103580215,2024-12-08,0.0,2422.0,2023-08-25,No
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,68.2652757641764,73.99361310081196,5.316023825203086,2024-04-13,0.0,176.375,2023-09-02,No
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,244,7,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,65.48344456616067,77.08306250206724,3.1396040636519293,2024-11-12,0.0,2515.2749999999996,2023-08-31,Yes
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,297,6,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,47.82217014448859,73.98293387770603,15.89971065019232,2023-10-09,0.0,495.3,2023-09-03,Yes
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,149,10,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,59.20233687407937,98.52278184508938,13.659490346171903,2023-10-25,0.0,2070.25,2023-09-03,Yes
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,937,4,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,63.09041843560319,79.86502775262066,16.27259351190595,2023-10-28,22.46844304357644,49.25,2023-09-03,No
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,454,6,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,85.85683339328374,40.82023895389264,32.71669798499524,2023-10-25,30.802720847112433,80.65,2023-09-08,No
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,719,10,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,75.15427434352692,69.422890710441,14.003509737727883,2024-08-18,31.868411173731186,2073.5,2023-07-05,No
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,655,3,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,43.554397669559,88.22544912103189,20.29922500868701,2024-12-30,17.394178221021082,2213.175,2023-09-02,Yes
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,557,7,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,74.86125954092192,67.79156350028978,12.793619184722427,2023-10-14,48.783385110582344,1940.375,2023-06-23,No
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,634,8,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,64.22376579375525,67.311696317673,25.69738066009381,2023-09-29,41.00531293444458,743.25,2023-09-11,Yes
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,707,5,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,59.84616999541062,82.08863595004756,9.217613119384207,2023-10-28,47.579957662567566,868.75,2023-09-09,Yes
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,661,4,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,79.17514433261302,43.64590119771263,29.637611402029822,2023-10-01,45.79309401710595,322.6,2023-09-06,No
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,231,10,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,85.46499283743927,60.40329876120224,11.714631886606712,2024-02-28,0.0,2245.5,2023-07-13,No
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,815,10,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,83.96920178674299,49.58707312992717,29.21748084895395,2023-10-15,46.87496940092467,859.0500000000001,2023-09-02,No
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,843,7,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,57.41173715166042,66.71813951101569,16.217345641729818,2024-03-19,13.53970008207678,3138.9750000000004,2023-09-02,Yes
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,494,6,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,65.36181436223178,81.96861235869123,6.103123373699415,2024-03-25,17.83931449676581,3578.85,2023-09-01,Yes
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,74.96895147105346,87.3846657999541,6.740557087343095,2024-11-02,0.0,424.15,2023-07-28,No
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,573,5,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,84.63317690683539,81.7136828118997,8.455199927010463,2025-03-11,23.013213230530575,3870.0,2023-08-13,No
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,661,1,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,62.81238643232065,78.8435171761176,0.0,2023-10-25,25.54709158757928,2361.75,2023-09-13,Yes
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,812,2,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,67.21511535004274,76.98896304410711,10.690392042087732,2023-09-29,20.853961270955836,2697.0,2023-09-12,Yes
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,237,3,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No,53.40497538990958,65.21478009632573,0.5693564802448687,2024-12-06,0.0,1515.6000000000001,2023-09-08,No
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,531,9,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,52.05690063878994,72.80155791605291,10.265296564663096,2024-04-06,24.270133067743572,489.59999999999997,2023-09-02,Yes
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,614,7,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,82.18788733591298,55.56022096842291,27.241310740838536,2023-10-22,21.23738038749523,424.8,2023-09-05,No
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,598,8,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,90.34360042856234,75.39361229040213,14.326448780676248,2023-10-29,31.70784332632994,112.94999999999999,2023-07-13,No
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,110,10,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,68.91984817629499,90.57122226218917,7.615617696780822,2024-02-26,0.0,1854.15,2023-09-12,Yes
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,171,4,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,85.05299346838036,83.43618289568461,18.38557935093436,2024-12-11,0.0,1227.6000000000001,2023-06-29,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,75.42454037571451,62.36959844637266,2.697495502907561,2025-08-26,0.0,503.74999999999994,2023-07-29,No
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,977,7,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,60.323203680923136,83.24083969394795,15.956303408159162,2023-10-17,49.47547746402069,399.25,2023-09-02,Yes
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,249,1,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,75.4209340826262,76.14917719583684,13.375685282034604,2023-10-18,0.0,24.525,2023-06-19,No
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,93.07054849698956,73.23077999694041,1.419833758446554,2024-04-21,0.0,530.4,2023-07-08,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,159,8,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,No,69.46260941335073,86.11676288840867,23.553971495202664,2025-05-03,0.0,3571.2,2023-09-01,Yes
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,93.4696548372101,90.30999522495952,9.681273572480167,2024-10-08,0.0,751.75,2023-08-09,No
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,430,9,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,30.703823438653835,89.31280119116198,5.612579889221841,2023-10-10,38.274293753904686,96.75,2023-09-07,Yes
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,329,7,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,82.32853756562835,71.60782476777362,2.9645640260799158,2024-03-13,39.160286721639494,3094.0,2023-08-06,No
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,185,1,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,71.30570602357257,76.90787624148786,8.89990986170163,2024-04-06,0.0,1279.95,2023-08-12,No
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,728,2,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,65.51488974301199,83.31263431403563,9.362965638050202,2023-10-11,12.961786069363615,218.6,2023-09-10,Yes
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,136,1,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,71.37641164803253,89.75545127122359,10.513227642698322,2023-10-08,0.0,1121.25,2023-07-01,No
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,40.18646628098661,75.2082576215471,8.511019218880199,2024-04-01,0.0,582.75,2023-09-05,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,76,1,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,66.70492168243732,44.087152111981055,41.50837426025387,2023-10-02,0.0,39.675,2023-09-12,Yes
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,347,9,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,75.35668857267619,78.14341023336183,13.166126550575468,2023-10-21,34.93192507310232,278.025,2023-08-29,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,498,8,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,92.16841067112274,31.534269521955828,26.184468232772623,2023-10-20,23.235920994105967,263.02500000000003,2023-09-02,No
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,723,6,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,62.22594672589529,68.93665025993971,8.061850836683767,2023-10-17,12.542334011440946,2179.7999999999997,2023-09-06,Yes
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,57.87259595660218,68.0379337591933,0.3251794137976453,2024-10-06,0.0,493.67499999999995,2023-09-09,No
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,962,2,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,62.47364434623195,88.12525822394198,9.253192521751794,2023-09-29,23.007332881069882,446.84999999999997,2023-09-05,Yes
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,679,8,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,83.73103176553111,93.56240028570824,0.0,2024-04-18,39.18424713352256,1087.625,2023-07-28,No
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,No,74.93126664489526,79.27989878419666,11.768853154456949,2025-01-27,0.0,495.59999999999997,2023-06-29,No
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,62.05359694349442,90.03532897892023,5.103498848586823,2025-05-03,0.0,458.84999999999997,2023-09-07,No
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,961,5,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,77.69901149670034,83.61636025047635,10.816801774579002,2023-10-27,28.888597006477973,489.375,2023-06-17,No
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,223,6,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,71.4561632402206,73.54880245394875,16.57037490762302,2023-10-23,0.0,1230.75,2023-07-28,No
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,526,2,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,84.52967485799334,83.61395605508415,5.256256523659999,2023-10-28,38.5297914889198,37.35,2023-07-14,No
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,464,2,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,59.46920359183972,95.38036566465968,15.30628129256059,2025-01-01,40.4314019446759,2772.0,2023-09-08,Yes
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,587,4,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,No,65.08506780103347,79.64173960890048,7.833052166569233,2023-10-16,32.45108790277985,3609.125,2023-09-08,Yes
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,842,4,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,64.11837770301764,95.64643655814008,18.765974010327927,2024-11-17,40.83868719818244,3632.4,2023-08-30,Yes
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,941,7,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,48.04727577801822,45.71345473083467,35.024651470339414,2023-10-25,29.75182385457563,473.70000000000005,2023-09-13,Yes
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,875,6,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,74.44180415596864,53.80254895910255,8.174236934008933,2024-02-29,30.909313175279763,2373.1749999999997,2023-06-27,No
0278-YXOOG,Male,0,No,No,5,Yes,No,No,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,73.91582908269834,60.2944055592704,28.03599491559429,2023-10-14,0.0,52.625,2023-09-05,No
